connecting_id,postId,replyMess,postcount,author,member group,dateTime,threadDetails,pos,neg,neu,compound,textblob_sentiment
785092,785092,"Hi everyone. I've been hiv + for 23 years. My partner infected me and as soon as he got his diagnosis he never touched me again, with no explanation. So we've lived like that for all these years. It took me a long time to get used to no love and affection, until a few weeks ago. I met this guy from the hood and we were attracted to each other. I told him about my hiv but he wanted to hook up anyway. So we did. To make a long story short, it was good for me but not so much for him. That would have been ok, not many guys would have even touched me. But instead of telling me, he just stopped seeing me but kept texting, hoping I would get the hint and disappear. Yesterday I bumped into him and let him have it. Why do people lie so much??? He said he was sorry and shrugged his shoulders. I ask again... Why can't people tell the truth??? 😥😥 It hurts so much... ",Posts: 1,rainjoy60,member," August 17, 2023, 01:04:17 pm »",«  ,0.119,0.081,0.799,0.8497,0.028846153846153834
785092,785104,"As Mod I'm just posting to say Hallo so you don't feel like we're ignoring you. This section of the forums is very quiet as most of our forum members are men. Now it's your choice of course, but if want I can move this post to a more active section of the forums like ""Living with HIV""?Anyhow, sorry to hear that dating this guy didn't work out. Rejection happens, still sucks though, wishing you the best and hopefully, things work out better next time. Best, Jim.","Posts: 21,412",Jim Allen,Administrator," August 18, 2023, 10:57:37 am »",« Reply #1 ,0.27,0.095,0.635,0.9744,0.2515151515151515
745659,745659,"Hello to all, I'm Crissy, diagnosed 2013, everyday a blessing, in the beginning was a challenge, now its becoming easier for me to deal. As of now, my goal is to meet and support people and enjoy life and share experiences, we still here my fellow friends 💗💗. Im new to site, my 1st time writing, anyone interested in messaging, or conversing, immm hereeee 😊😄",Posts: 3,Crissy85,member," June 07, 2018, 08:03:58 pm »",«  ,0.278,0.0,0.722,0.9595,0.20727272727272728
745659,779523,Hi there. I would love to have some friends I could talk to. I realize it's been years since you posted but just thought I'd try to reach out..,Posts: 1,Darrit2022,member," June 12, 2022, 03:14:35 pm »",« Reply #1 ,0.201,0.0,0.799,0.5859,0.5
745659,781738,can we  share pics and talk ,Posts: 1,manny1018,member," December 06, 2022, 06:22:39 pm »",« Reply #2 ,0.306,0.0,0.694,0.296,0.0
745659,781739,"Hiya, and welcome to the forums.I removed the email address from your post as this is a publicly visible forum. As you are new here, please post an introduction thread either in the ""Just tested positive"" or the ""Living with HIV forum"" to let us know a bit more about you, such as how long you have been living with HIV,  how you are doing, how the treatment is going, etc. It is standard for new forum members to introduce themselves. Thanks","Posts: 21,412",Jim Allen,Administrator," December 06, 2022, 06:37:52 pm »",« Reply #3 ,0.134,0.0,0.866,0.8957,0.195
780121,780121,"I found out I had HIV when I was 6 weeks pregnant. I immediately started treatment. Isentress 2x1 and truvent 1x1. Initially my viral load was 203,000. In one month my viral load dropped to 41. I am probably undetectable now. But I am worried about the baby. has anyone given birth to a baby? Sorry for the bad english. I didn't know so I had to use google translate.",Posts: 4,paradise123,member," July 27, 2022, 03:51:23 am »",«  ,0.0,0.136,0.864,-0.8402,-0.17333333333333328
780121,780122,"Hiya,Although I'm not a woman, I'll reply to your topic as mod as this section is very quiet. If you like I can move it to the ""just tested positive"" section where more forum members can reply to you?Sorry to hear about the HIV diagnosis and hope your pregnancy is otherwise going well.Many forum members are parents and I'm sure many if us can somewhat appreciate the concerns Have you told your healthcare provider about your concerns and what did they say?Viral load of 41, it's considered fully suppressed and odds are very low of passing HIV onto your baby during childbirth. Less than 1% and there are things you and your healthcare provider can do to reduce these odds even further such as given the baby HIV meds for a while after birth. Keep taking the meds and working with your healthcare provider.Best, Jim.https://www.aidsmap.com/news/nov-2018/viral-suppression-key-preventing-mother-child-transmission-food-insecurity-tb-andhttps://www.hiv.gov/hiv-basics/hiv-prevention/reducing-mother-to-child-risk/preventing-mother-to-child-transmission-of-hiv#:~:text=An%20HIV%2Dpositive%20person%20can,baby%20and%20protect%20your%20health.","Posts: 21,412",Jim Allen,Administrator," July 27, 2022, 05:34:04 am »",« Reply #1 ,0.092,0.016,0.892,0.8927,0.17606060606060606
780121,780123,"Of course you can move the topic to another forum.My doctors told me to continue the treatment and go to the hospital to have the viral load checked every 2 months. They found the probability of the baby to be infected is very very low. But the mother's heart never relaxes. That's why I started looking for stories similar to my own.Quote from: Jim Allen on July 27, 2022, 05:34:04 amHiya,Although I'm not a woman, I'll reply to your topic as mod as this section is very quiet. If you like I can move it to the ""just tested positive"" section where more forum members can reply to you?Sorry to hear about the HIV diagnosis and hope your pregnancy is otherwise going well.Many forum members are parents and I'm sure many if us can somewhat appreciate the concerns Have you told your healthcare provider about your concerns and what did they say?Viral load of 41, it's considered fully suppressed and odds are very low of passing HIV onto your baby during childbirth. Less than 1% and there are things you and your healthcare provider can do to reduce these odds even further such as given the baby HIV meds for a while after birth. Keep taking the meds and working with your healthcare provider.Best, Jim.https://www.aidsmap.com/news/nov-2018/viral-suppression-key-preventing-mother-child-transmission-food-insecurity-tb-andhttps://www.hiv.gov/hiv-basics/hiv-prevention/reducing-mother-to-child-risk/preventing-mother-to-child-transmission-of-hiv#:~:text=An%20HIV%2Dpositive%20person%20can,baby%20and%20protect%20your%20health.",Posts: 4,paradise123,member," July 27, 2022, 07:00:42 am »",« Reply #2 ,0.08,0.044,0.876,0.8837,0.14671717171717172
780121,780316,"I had my daughter while positive. I was on a study so I dont know if I received the medication or a placebo. She is 24 years old now and HIV negative. I was on a birth plan to have a C-section, but no one could get a hold of my doctor. So I had my daughter by natural birth. Id listen to your doctors. But also many women have given birth while positive and had healthy babies. ",Posts: 112,delilah07,member," August 17, 2022, 10:39:28 pm »",« Reply #3 ,0.175,0.064,0.761,0.8705,0.1935064935064935
